Epoch	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-4452.18	640.95844	-1527.7242	-5430.281	50	3.0994414e-08	1279328.0	0.025145423	-1061960.1	2.8052073	0.18489212	0.7	1.0	27.82948327064514
1	-3541.1995	321.06702	-2114.7207	-3792.0308	100	1.335144e-07	617914.75	-0.00330626	-546811.1	2.735862	0.09242118	0.7	1.0	58.599578857421875
2	-2812.9858	288.23138	-1807.3861	-3034.8523	150	-4.7683717e-08	223096.7	-0.004391718	-179694.62	2.584126	0.094973676	0.22	4.0	89.43892002105713
3	-2432.3645	242.49008	-1558.0508	-2640.8384	200	1.6212464e-07	224952.19	-0.010247283	-189490.77	2.9329848	0.051513914	0.58	4.0	119.15510582923889
4	-1961.18	181.91663	-1538.0684	-2152.8726	250	-1.4305114e-08	78970.95	-0.021116517	-61195.92	2.7872334	0.07513559	0.62	2.0	148.91040015220642
5	-1728.7543	191.94084	-1231.3457	-1920.0315	300	-1.335144e-07	116556.11	-0.0026264908	-104819.35	2.9876525	0.02437407	0.36	2.0	178.3256709575653
6	-1635.1769	245.1567	-1007.44696	-1982.2003	350	-1.3113022e-08	28404.682	-0.00633042	-25974.95	2.8858614	0.027963044	0.38	3.0	207.97961354255676
7	-1302.6678	103.11637	-1142.0652	-1425.6599	400	-2.670288e-07	65206.9	-0.0056759454	-60972.26	3.0009594	0.107088625	0.6	1.0	237.13537216186523
8	-1053.8252	110.50155	-763.2174	-1170.9629	450	-1.9073486e-08	23584.057	0.0037831354	-20824.64	2.720069	0.09184206	0.5	1.0	266.43312311172485
9	-918.36584	96.54436	-597.9183	-1068.5704	500	-1.1920929e-07	8982.156	-0.022660086	-7453.504	2.6117032	0.04978777	0.5	2.0	294.90754103660583
10	-830.03534	98.17502	-640.1897	-942.30505	550	2.8610229e-08	15697.135	0.0060723163	-14790.6455	2.885562	0.05314205	0.46	2.0	322.636714220047
11	-720.1468	92.03752	-524.92523	-840.0737	600	1.1920929e-07	4356.3735	-0.021417905	-3970.9675	2.5574703	0.015498741	0.54	3.0	350.8443138599396
12	-628.1069	64.42435	-463.30798	-788.0646	650	-3.5762786e-09	1668.0289	-0.042821307	-1248.3392	2.6442022	0.066520885	0.42	1.0	381.8052797317505
13	-632.2002	95.23239	-476.75385	-755.20856	700	-2.8610229e-08	2246.797	0.00026540994	-2138.2834	2.699585	0.036138106	0.36	6.0	412.0257787704468
14	-570.67334	67.209435	-427.37268	-706.00995	750	2.8610229e-08	585.1316	-0.010295556	-256.79874	2.585326	0.062827006	0.5	1.0	440.3083577156067
15	-577.0555	86.862656	-430.92725	-714.94543	800	2.0861625e-08	479.91086	0.0025161123	-391.92126	2.7068024	0.053602714	0.18	5.0	469.32243824005127
16	-539.2473	63.696518	-423.79306	-648.1948	850	1.8596648e-07	716.7545	-0.022216154	-567.98785	2.586517	-0.005788195	0.22	79.0	524.0870499610901
17	-501.16788	58.308075	-387.09882	-601.90906	900	1.04904174e-07	2568.8887	-0.0566839	-2430.299	2.5540714	0.08207022	0.62	1.0	552.7907729148865
18	-444.69492	53.874527	-336.1001	-543.7626	950	1.4543534e-07	1646.8441	0.007942025	-1456.8655	2.7578385	0.026020521	0.36	8.0	583.5339252948761
19	-400.88333	53.671276	-312.8494	-506.12326	1000	-1.9073486e-08	406.57706	-0.013207441	-273.56808	2.6240506	0.10301907	0.56	2.0	611.4354746341705
20	-411.77734	86.337326	-295.97565	-563.344	1050	-2.2947788e-08	1428.3018	0.014696819	-1266.4053	2.7330701	0.045162983	0.46	2.0	639.4918351173401
21	-381.96884	56.540176	-283.11432	-510.19293	1100	5.1259995e-08	742.7511	-0.010488309	-468.03015	2.5614657	0.06937531	0.32	1.0	667.2513418197632
22	-419.0214	68.0556	-305.32196	-542.9795	1150	4.7683715e-09	92.34618	-0.00086755276	-23.18856	2.8562942	0.04450817	0.5	4.0	695.8394465446472
23	-384.22824	35.054615	-318.16193	-457.42163	1200	-4.7683717e-08	1099.5732	-0.0040485575	-1007.3756	2.5930786	0.06613095	0.5	2.0	723.765466928482
